Country,UN_R/P_10%,UN_R/P_20%,WB_Gini_%,WB_Gini_Year,All,Male,Female,2019_rank,2019,2018_rank,2018,2017_rank,2017,2016_rank,2016,2015_rank,2015,2014_rank,2014,2013_rank,2013,2012_rank,2012,2011_rank,2011,2010_rank,2010,2009_rank,2009,2008_rank,2008,gpi_at_gini_year
Afghanistan,,,30.0,2018,6.0,6.2,5.7,158,3.3,159,3.35,159,3.347,159,3.391,157,3.293,161,3.321,162,3.353,162,3.442,161,3.392,160,3.485,160,3.426,160,3.35,3.35
Albania,7.2,4.2,33.2,2017,3.7,5.3,2.2,51,1.821,53,1.843,60,1.92,61,1.9,64,1.948,67,1.96,71,1.995,63,1.976,62,1.938,59,1.912,62,1.916,69,1.943,1.92
Algeria,9.6,4.0,27.6,2011,2.6,3.3,1.9,111,2.219,109,2.188,107,2.188,106,2.197,121,2.261,119,2.283,122,2.314,125,2.355,140,2.512,130,2.37,126,2.347,127,2.347,2.512
Angola,,9.0,51.3,2018,12.6,21.7,4.7,77,2.012,80,2.031,74,2.007,88,2.073,77,2.008,96,2.115,87,2.094,90,2.105,82,2.074,80,2.02,84,2.021,93,2.069,2.031
Argentina,31.6,8.8,41.4,2018,8.1,13.5,3.3,75,1.989,67,1.955,76,2.012,93,2.096,90,2.082,77,2.019,93,2.117,68,1.984,73,2.007,72,2.0,71,1.962,52,1.859,1.955
Armenia,8.0,5.0,34.4,2018,2.7,4.9,1.0,118,2.294,121,2.302,117,2.258,114,2.225,116,2.243,114,2.253,126,2.332,123,2.329,123,2.331,129,2.368,127,2.356,125,2.344,2.302
Australia,12.5,6.3,34.4,2014,11.3,17.0,5.6,13,1.419,12,1.398,11,1.387,12,1.4,7,1.367,10,1.387,13,1.451,15,1.497,11,1.447,8,1.393,9,1.391,7,1.367,1.387
Austria,6.9,4.9,29.7,2017,10.4,16.6,4.6,4,1.291,3,1.273,4,1.292,4,1.249,4,1.264,4,1.287,4,1.309,7,1.407,9,1.416,5,1.383,5,1.369,5,1.337,1.292
Azerbaijan,9.7,,26.6,2005,4.0,6.6,1.5,130,2.425,133,2.447,134,2.457,134,2.441,133,2.425,133,2.412,134,2.459,131,2.404,127,2.387,131,2.382,131,2.394,123,2.336,2.425
Bahrain,,,30.0,2018,7.2,9.9,2.3,124,2.357,129,2.404,132,2.41,132,2.347,110,2.228,120,2.287,107,2.2,100,2.168,117,2.287,53,1.871,66,1.932,67,1.924,2.404
Bangladesh,7.5,4.8,32.4,2016,3.9,6.0,1.7,101,2.128,92,2.078,86,2.036,81,2.046,79,2.027,87,2.086,100,2.154,102,2.188,100,2.157,98,2.156,94,2.076,99,2.101,2.046
Belarus,6.9,3.6,25.2,2018,16.5,30.1,5.3,97,2.115,101,2.112,99,2.106,105,2.18,118,2.244,108,2.207,113,2.234,113,2.28,110,2.236,107,2.204,110,2.202,110,2.187,2.112
Belgium,8.2,4.2,27.4,2017,13.9,19.6,8.4,18,1.533,21,1.538,20,1.536,16,1.47,15,1.437,15,1.442,15,1.473,14,1.493,18,1.5,18,1.517,17,1.504,16,1.494,1.536
Benin,9.4,16.3,47.8,2015,12.7,20.3,6.1,72,1.986,72,1.975,83,2.028,73,1.997,74,1.975,93,2.101,95,2.126,105,2.212,113,2.261,111,2.213,112,2.214,113,2.218,1.975
Bhutan,,6.6,37.4,2017,5.1,6.8,3.1,15,1.506,17,1.521,25,1.604,23,1.572,27,1.638,35,1.66,33,1.679,38,1.75,60,1.932,66,1.95,59,1.902,58,1.881,1.604
Bolivia,93.9,11.8,42.2,2018,6.8,9.6,4.2,85,2.044,81,2.033,76,2.012,78,2.017,87,2.071,91,2.096,101,2.165,97,2.146,79,2.046,91,2.115,95,2.084,80,2.011,2.033
Bosnia and Herzegovina,5.4,5.4,33.0,2011,8.3,13.5,3.4,81,2.019,90,2.063,87,2.042,62,1.942,68,1.955,58,1.895,63,1.94,64,1.98,66,1.953,64,1.943,63,1.922,62,1.912,1.953
Botswana,43.0,15.0,53.3,2015,20.2,35.5,7.8,30,1.676,31,1.682,29,1.641,28,1.633,31,1.663,40,1.766,32,1.676,33,1.702,32,1.709,29,1.691,32,1.712,41,1.757,1.663
Brazil,16.5,21.1,53.9,2018,6.4,10.3,2.8,116,2.271,106,2.159,109,2.195,104,2.169,103,2.163,85,2.078,77,2.047,75,2.043,72,2.005,81,2.022,79,2.002,75,1.993,2.159
Bulgaria,7.0,7.3,40.4,2017,6.5,10.6,2.9,26,1.607,26,1.632,28,1.631,30,1.641,32,1.684,26,1.619,37,1.712,31,1.693,29,1.651,32,1.709,35,1.733,35,1.708,1.631
